,LumA log adjusted q-value,LumB log adjusted q-value,Her2 log adjusted q-value,Normal log adjusted q-value,Basal log adjusted q-value,claudin-low log adjusted q-value,NC log adjusted q-value
Vitamin C (ascorbate) metabolism,1.4564263319620026,1.5252073611613504,0.42795042952494766,0.5911725083047258,4.0975439698229055,7.41146188998299,0.4612462017676375
Transport of Ribonucleoproteins into the Host Nucleus,1.4436904460346196,0.34832102718005886,0.3394054364502994,2.2112582062105277,3.834936011846405,0.5053469305663817,0.8562355265640327
Cholesterol biosynthesis,1.437563169519191,0.3189312555743547,5.143658660953235,0.3612650528179414,0.7940862653729255,0.5267259351850471,0.39891270188077427
Immune System,1.4312915013678196,0.886097180043873,0.4785612082760674,0.3220926025195848,0.4568434061507975,22.344439225978277,0.40182339158109004
Cytosolic tRNA aminoacylation,1.4231880685397496,0.4627309951511139,2.8137727358166167,0.5249329557053981,3.1771058490477295,2.4610446481583765,0.43932073123719284
Aspartate and asparagine metabolism,1.4201492735075945,0.3646071303559334,3.075877953197654,0.7862491505325648,1.7795006994240632,0.9974365855937488,0.3638217144164597
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),1.4199235738315126,0.3223161519951602,0.32729809199372806,0.37791346521058267,0.3849312882157625,16.80117491640082,0.3520555789924897
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,1.4178146132224116,1.9421060230542748,0.32863599470672256,2.5723128428868467,1.2735180649333775,0.5089802942225483,0.3651055559896486
APC/C:Cdc20 mediated degradation of mitotic proteins,1.4178146132224116,0.5314003421489712,0.32880906577550495,1.793368241969879,0.5262567582038156,1.4441266158072523,0.338829074976876
Pentose phosphate pathway disease,1.4174578904956119,0.6580731317637653,0.3568385564651765,0.3829042881126236,3.9511099178801516,1.0499635879516223,0.6652933046223626
NOD1/2 Signaling Pathway,1.4118550235178937,0.4908093789985074,0.3615925788040158,0.3307307360542219,1.570690472513156,10.342110652152911,0.3803548827301223
p75 NTR receptor-mediated signalling,1.410519269194763,0.6580731317637653,0.38702855875151665,0.6011809812034612,0.6207778734913441,0.5552411559227287,1.0412053551645464
G alpha (i) signalling events,1.403787272479291,0.8672814804812231,0.30794912235046845,0.5120762850209457,0.4150218367895246,23.270748665699518,0.30278431678447215
Class I MHC mediated antigen processing & presentation,1.403787272479291,0.44227409954858976,0.4133789236067406,0.4023593491201172,0.707427843840832,10.872822195859776,0.31343037570161303
Interactions of Rev with host cellular proteins,1.4025208731963454,0.4757429707706315,0.4601089698918196,1.963165551102046,3.135428267025406,0.6513353773195599,0.896054745229872
snRNP Assembly,1.4025208731963454,0.974256836953339,0.32047827589586897,2.7109027970307005,2.9731952143425047,0.36952907647269295,0.7742492812286947
Metabolism of non-coding RNA,1.4025208731963454,0.974256836953339,0.32096721570338044,2.7109027970307005,2.9731952143425047,0.3705038061171219,0.7742492812286947
Regulation of KIT signaling,1.4006248363248686,2.2824800952381548,0.3579547298060995,0.377745787673025,1.6914629550912545,21.303329242255643,0.3611038667227955
NEP/NS2 Interacts with the Cellular Export Machinery,1.4006248363248686,0.3894910406723921,0.40125433419118267,2.022745957895109,3.5712578205791554,0.4839137040110419,0.8269224400332116
Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,1.4006248363248686,0.6335990380349649,0.5446136728160411,0.3325403897478307,7.631291724846484,0.8933963398927194,0.4258249318277136
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,1.4006248363248686,0.6313164779578079,0.5434125520854817,0.3325403897478307,7.631291724846484,0.8666654632243039,0.4258249318277136
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,1.4006248363248686,0.631967582583518,0.5446136728160411,0.3325403897478307,7.631291724846484,0.8687198664089572,0.4258249318277136
Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,1.4006248363248686,0.6329087352885052,0.5469118981564518,0.3325403897478307,7.631291724846484,0.8790761431937602,0.4258249318277136
Diseases of Cellular Senescence,1.4006248363248686,0.6340591051838272,0.5511809945188185,0.3325403897478307,7.631291724846484,0.8732039353480567,0.4258249318277136
Signaling by Interleukins,1.399464869980022,0.8199941346336901,0.40479667329918123,0.310942616672178,0.6117223299187523,21.365819295189915,0.3638217144164597
POLB-Dependent Long Patch Base Excision Repair,1.38371785055621,1.6098230369995061,0.7705735486992861,1.4480285314127088,1.2306680971387303,0.43198480057924676,0.4228976997637806
Neurotransmitter receptors and postsynaptic signal transmission,1.3760362195169675,0.47040871764383185,0.3528834019722904,0.30669080019090855,0.9729547713104151,8.263724213928473,0.8773674832437431
Assembly and cell surface presentation of NMDA receptors,1.3760362195169675,0.34832102718005886,0.4449931646080697,0.3924729052010853,1.610289158520411,0.484530311456489,0.480852194465206
PI3K/AKT Signaling in Cancer,1.360719118922538,1.6917814984203143,0.38054791574534547,0.3426994412426129,0.4922774409171271,25.0184007497484,0.5174595919785626
Defective ABCC8 can cause hypoglycemias and hyperglycemias,1.3437175831428652,0.6121206829753241,0.3649454802090587,0.36349713985737403,1.7296067495252931,5.066771198033206,0.480852194465206
Anchoring of the basal body to the plasma membrane,1.3437175831428652,0.43490941393839655,2.7638679033208318,0.6548327677267689,2.8112773949401975,0.6301804132974469,0.30330725759028837
SUMOylation of chromatin organization proteins,1.3422581212294327,0.4689358402626867,0.35938923169648856,1.1903219574708819,1.7608915837745605,0.49748388887078954,0.7931598279162857
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,1.3422581212294327,0.33334886919344947,0.31884071297397054,1.4959937589289185,0.5308520240122588,2.1326747006916063,0.31870443987371155
Sulfur amino acid metabolism,1.3422581212294327,0.4428091026226384,1.5505138270118481,0.4524881544222772,3.0571300358947164,0.5714895994043389,0.31870443987371155
Signaling by ERBB4,1.3417827288167756,1.5997680848295852,0.309064805715866,0.3133665011422615,2.3491499165714247,10.375435735969862,0.3339914247453728
Innate Immune System,1.3384183355114376,0.5720588986651673,0.34165096242630555,0.31406405192142334,0.4100207839026664,21.74832758987648,0.30330725759028837
Disorders of transmembrane transporters,1.3384183355114376,0.3911487587762643,0.30758169846337285,1.1278152630536373,0.7144992883892635,3.649626609836441,0.6947552886664741
Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,1.3384183355114376,0.4249767972057781,0.40125433419118267,0.6876471017100976,0.40738457867538846,1.4317421821738434,0.5030608859113487
Ovarian tumor domain proteases,1.3384183355114376,0.342723606792187,2.268912268339403,0.4297241806606309,1.8159094442949175,0.34503587958378806,1.5360992311579398
SUMOylation of SUMOylation proteins,1.3384183355114376,0.4655495340261421,0.6196298063493,2.1299248906787684,3.0730023916256854,1.3298741604788802,0.8916647294173798
Defective SLC7A7 causes lysinuric protein intolerance (LPI),1.3381649423558932,0.3911487587762643,0.309064805715866,1.581369825012548,0.3340607822114115,2.561315078390473,0.33780731688619897
RHO GTPases activate CIT,1.336671056225901,1.728374707507608,1.1384206418864513,5.72701523355031,1.5333386552364718,0.6440294805404223,1.0412053551645464
Calcitonin-like ligand receptors,1.3253700125289183,0.36077220299894525,2.01654432677042,0.3139377447445984,3.500684195729861,1.946644506589002,0.35590944323007
ATP sensitive Potassium channels,1.3172960324931462,0.7625117359403885,0.309064805715866,0.3650347392099042,0.8999040250944091,7.99271536533049,2.3012111952672885
CTLA4 inhibitory signaling,1.302297700897529,0.32290529193603407,0.3615925788040158,0.33732540201044114,0.506701908096601,17.70315585760315,0.5352419195294669
Antimicrobial peptides,1.2998059869312235,1.5458402962933917,0.8452486176584844,0.5108643430083234,1.3939334368531047,8.05322811990868,0.390107016080146
Hedgehog 'off' state,1.2955447523712422,0.8180223841458668,0.47844463750914634,0.844717814464998,0.5295887881996647,4.026584934542315,0.4779338922469034
Enzymatic degradation of dopamine by COMT,1.294381942335254,0.3663379689942575,0.34350113388532666,0.3650347392099042,2.3381614368803993,4.093879079672033,0.4466596187952358
Dopamine clearance from the synaptic cleft,1.294381942335254,0.36613200722070544,0.34350113388532666,0.3650347392099042,2.3381614368803993,4.093879079672033,0.4466596187952358
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,1.294381942335254,2.2489593851776855,3.909390678583728,0.3092279906949453,1.863027823689964,1.8014874334604665,0.7931598279162857
Activation of BAD and translocation to mitochondria ,1.293649479736518,0.31494787026486865,0.3615925788040158,1.127317278451199,3.2870156970561455,0.3192790629485942,0.3115286868366456
Biological oxidations,1.293649479736518,0.38526349105618296,0.3849676106487793,0.5698157867584582,0.9258948420412892,12.572646882114382,0.724835672627741
Recruitment of NuMA to mitotic centrosomes,1.293649479736518,0.35920048145956207,2.952184434436409,0.6230698932132173,2.3773555499458436,0.3805843995611321,0.3132075258668126
Formation of tubulin folding intermediates by CCT/TriC,1.2923026240125242,0.6286195179544306,0.3367240286147775,0.516628740786363,1.23467462966654,0.4809735175585062,0.558198900602738
Gluconeogenesis,1.2886550825001768,0.47737662398543174,0.40125433419118267,0.31406405192142334,1.5930211424624539,0.6913244551980937,0.7194306958887641
Nuclear import of Rev protein,1.286159519788698,0.4804303494846882,0.6618049319698909,1.984287441519607,2.9584390019135403,0.4981239698872058,0.905985952276472
Initiation of Nuclear Envelope Reformation,1.286159519788698,0.7897413854150991,0.34646075595502507,0.844717814464998,0.4230668344807249,0.737503139129193,1.0310481020832896
Nuclear Envelope Reassembly,1.286159519788698,0.7896605942454825,0.3472317891913865,0.844717814464998,0.4230668344807249,0.7475042200517471,1.0310481020832896
SLBP independent Processing of Histone Pre-mRNAs,1.2818708034203148,0.5098760850672088,0.6985391733589967,2.6566040126195354,2.2090416933621975,0.5776869139139438,0.4719578276920968
Vitamin B2 (riboflavin) metabolism,1.2787594751221654,0.4865631200748303,2.827872817824763,0.36652313218106886,1.5333386552364718,1.8672849157305274,0.8897701013342858
TYSND1 cleaves peroxisomal proteins,1.2764297838602525,0.4839065852617352,0.5596395430962502,0.539545243309265,1.6966965315228302,0.32480443622741456,1.0615154643128002
Insulin effects increased synthesis of Xylulose-5-Phosphate,1.2726117526217235,0.4237924916712859,0.6856244100202815,0.31406405192142334,1.732455493295446,0.3192790629485942,0.44021889036027795
GPCR downstream signalling,1.2694896016351387,0.6602488744735772,0.49415718131594577,0.572816478171747,0.4058576477786083,21.578040413609592,0.3300029921200408
The role of GTSE1 in G2/M progression after G2 checkpoint,1.265019369646968,0.3411564189282697,0.39309597241925864,1.4480285314127088,0.5300353818238792,1.9275461468890194,0.3579219236299145
RAB geranylgeranylation,1.2596170191776146,1.4388751160820894,0.3579547298060995,0.5656050876224126,1.87410714773992,17.292725650658287,0.38443120378776513
Peptide ligand-binding receptors,1.2557784050699898,0.9674422348542535,0.3574607901818434,0.7185856532450023,0.4100207839026664,20.76148749324391,0.39891270188077427
Neuronal System,1.2557784050699898,1.0729001168503527,0.34859250582289314,0.3924729052010853,1.5333386552364718,13.46393109401854,0.5028275092513058
Acyl chain remodelling of PG,1.2548540509109989,1.3587138740441582,0.7194845249429889,0.31764701493825187,1.702923118700088,9.196302385792317,0.8827679954541124
Signaling by GPCR,1.252832494328502,0.7026145083602306,0.5305296649663039,0.5920572366359846,0.4100207839026664,21.456416580925197,0.338829074976876
Activation of caspases through apoptosome-mediated cleavage,1.2385316335027918,0.35920048145956207,1.244559236653669,0.5169762739575535,0.4043660143968927,0.8666654632243039,0.3076442190334023
Diseases of metabolism,1.2344257343628056,0.5366882111971166,0.309630431123726,0.43876316452186465,0.9808985470482607,10.972846561010764,0.8927098357696848
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",1.2323292384832571,1.2518070214032486,0.34010592616982027,0.37791346521058267,0.8457811591836822,17.89493122069609,0.3983192252380045
HDR through MMEJ (alt-NHEJ),1.2222112455551182,1.6383002223565077,1.8760454176997348,2.7221444553362226,1.1068584049796024,0.758256908780948,0.8773674832437431
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),1.2151551564523821,0.3886713294759547,1.3924311050370273,0.3771151401695755,0.5916708059130761,2.27354902923979,0.338829074976876
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,1.2148509120116633,0.6348430454009657,0.41956605747469905,0.3210783391967535,0.32265386364806076,20.404248138566594,0.41086103938800966
Programmed Cell Death,1.212923242135214,0.4731128235942158,0.4119478057405756,0.6689258571371978,0.5970123732902552,5.036554301515054,0.637150546436226
Cholesterol biosynthesis via lathosterol,1.2112472495463789,0.37349825044231266,3.2690293356297886,0.4053831978137113,1.1807695107036635,1.3700564415710632,0.33224744631944614
Cholesterol biosynthesis via desmosterol,1.2112472495463789,0.37331638253090615,3.2690293356297886,0.4053831978137113,1.1807695107036635,1.3769681683716313,0.33224744631944614
Cargo trafficking to the periciliary membrane,1.2025582009581226,0.47178631541952487,0.37044175815133445,0.3479099438227832,1.0072824425993792,4.50439897610188,0.7887448474438284
Transcriptional regulation by RUNX2,1.2015267563192815,0.3288714815669623,0.6036227538628399,0.8296420610085206,0.6119281441045306,4.926581132713043,0.42747441137107256
RUNX3 Regulates Immune Response and Cell Migration,1.2015267563192815,0.8138776069432603,0.34010592616982027,0.5253880824403414,0.40502562320625213,19.21020150694871,0.6874754667424066
Noncanonical activation of NOTCH3,1.2013802192482343,0.36635055077698886,0.3622865015670615,0.5932929917935776,0.7449613961562055,6.0053731957882,1.0386375210955348
Pentose phosphate pathway,1.1893501963637163,0.44227409954858976,0.46833763479573737,0.5736585950939971,2.6892612586386506,1.6248458833155923,0.9459000973953219
Hydroxycarboxylic acid-binding receptors,1.1891513472564543,1.1328009409945634,0.635581851585902,0.3443190357076741,4.173853810031114,2.1535840049862953,0.813886122704824
Phase 4 - resting membrane potential,1.186809489559718,2.364985768442516,0.39699297219819757,0.3245825806109189,4.169285603489939,4.512180159297406,1.3529355959855633
N-glycan antennae elongation in the medial/trans-Golgi,1.1835049527937267,0.3026960685114295,2.4290647825247405,0.4182659752589027,4.362418271617786,0.9946361601650641,0.6609611503215876
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,1.180580530852746,0.4225251742038882,0.5324872435739907,1.4955662235053302,0.4606992470018494,1.9042635785738797,0.3700204790529201
Prolactin receptor signaling,1.180580530852746,1.9246824438401637,0.42795042952494766,0.30377474248267444,3.2619014734160956,7.91521535420831,0.8829231657563248
The phototransduction cascade,1.180580530852746,0.42255855101240963,0.5778331852930361,0.5469572720316332,1.988650508665966,5.538047080907888,0.5430685835794447
Apoptosis,1.1737480339254147,0.5357846389649563,0.4411539909498909,0.6964106477979984,0.565982395483513,4.947658211505858,0.6395205159712435
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",1.17056678371291,1.0810802943177427,0.6574839261149258,0.9070761905745476,0.3870252422407141,0.5312862308933711,0.9042081426860522
Neutrophil degranulation,1.1657531043408957,0.38455548333257034,0.5324872435739907,0.335865822884923,0.37653132522681154,20.52991435212755,0.32583444604937334
G1/S DNA Damage Checkpoints,1.1631011778886258,0.46461231277977755,0.5103669251043385,1.3032940437226253,0.5796435090172591,2.825349283392731,0.338829074976876
Early Phase of HIV Life Cycle,1.1581085352850808,1.9611870398104247,0.3568385564651765,1.8339626603089283,0.7727851568113597,0.451952461895402,0.5545503686964277
HDL remodeling,1.1424333696887123,1.161767311553323,0.3367240286147775,0.3612650528179414,0.39388368066610474,15.22153810679357,0.616810243528583
Phase 2 - plateau phase,1.1396406719692003,0.36097258849275415,1.522541746615911,0.3126159580914196,1.1493377381048195,0.3970534370437638,0.8895330256390396
Defective CP causes aceruloplasminemia (ACERULOP),1.137344274957302,0.613643803421151,0.5731623688894277,0.3650347392099042,3.0180640002065675,2.61592089530818,0.3380295134915102
Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages),1.137344274957302,0.6125658117352507,0.5751107773901672,0.3650347392099042,3.0180640002065675,2.608310640427892,0.3380295134915102
Adaptive Immune System,1.137344274957302,0.6287478209031482,0.4411539909498909,0.3126159580914196,0.3579344012903948,19.98055501076685,0.4096669222936567
Amine Oxidase reactions,1.1350829503010411,0.5060922776015859,2.0823940715768887,0.6948949702406204,2.4329850692071475,0.6831622562096544,0.33224744631944614
FBXW7 Mutants and NOTCH1 in Cancer,1.1350829503010411,3.0845486535014746,0.6478607751685979,0.6244442836542735,4.783117076980082,5.4103529592149675,0.4308528642430009
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,1.1350829503010411,3.0845486535014746,0.6478607751685979,0.6244442836542735,4.783117076980082,5.4103529592149675,0.4308528642430009
Cytokine Signaling in Immune system,1.1350829503010411,0.7566889536504381,0.31603182619053916,0.33076588586426786,0.46307898005524417,18.505418206342664,0.4074619331784924
SUMOylation of RNA binding proteins,1.1334257303262902,0.44227409954858976,0.635581851585902,1.2476473885667063,1.612721126167685,0.376087699323987,0.8220550075237788
Interconversion of nucleotide di- and triphosphates,1.1325704008139046,1.7839265397441235,0.3876373484933439,0.8605268471979254,0.37789604137113647,0.3524727793982729,0.5857493069187465
The NLRP1 inflammasome,1.1325704008139046,1.9486203325139886,0.30118877078517,0.4663844314188478,2.6801044761688124,7.190459546644917,1.8272506399302395
Regulation of TLR by endogenous ligand,1.1296467988829304,0.7352076824464555,0.46632121909813035,0.418335747568477,0.36285493610529174,12.97098776173923,0.4337747319985894
Release of Hh-Np from the secreting cell,1.126123969702181,0.966130063958743,0.33173936133753634,0.3420941592907077,3.566571293020461,2.2620365592852525,0.5030608859113487
Intrinsic Pathway for Apoptosis,1.1253140916289568,0.5519775888320267,0.4599877707140123,1.1960800258227906,2.361678428728948,0.3611883034655222,0.7596377490577713
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,1.1253140916289568,1.0230929066990755,0.3184323876312766,2.2298654770665034,1.2949057136423754,1.8976857852184887,0.3964586792852122
SUMOylation of ubiquitinylation proteins,1.1222223289498705,0.3167912402659615,0.4411539909498909,1.4977728957201133,1.8352690536287877,0.3128037813636436,0.8269224400332116
Glycerophospholipid biosynthesis,1.1222223289498705,1.524708193980117,0.38681374980896,0.3650347392099042,2.9993965841976515,15.20118508010478,0.38185231763536315
Metabolism of steroids,1.1212491784491108,0.39678070566741774,0.7165321303012631,0.31399534381118044,0.4164440270480491,5.681540265338909,1.1019771272378953
Signaling by the B Cell Receptor (BCR),1.1139847882271845,0.3962893504295674,0.38282902956393544,0.3412799564951009,0.44925618279498675,12.482222963955136,0.3132075258668126
Cdc20:Phospho-APC/C mediated degradation of Cyclin A,1.1063063153042834,0.37212479033932083,0.6647345602846705,1.386790260077565,0.4385856937935542,2.0171515060162837,0.3651055559896486
Reactions specific to the complex N-glycan synthesis pathway,1.1063063153042834,1.0629234034971093,2.7638679033208318,0.3522115808232755,4.585128810085272,0.3573559819399767,0.4582314178260092
SCF(Skp2)-mediated degradation of p27/p21,1.1063063153042834,0.4788365094295219,0.7819888735742229,1.1961601358086484,0.5331068286775944,2.895096613055495,0.3803548827301223
Circadian Clock,1.1063063153042834,0.6156480966272587,0.41956605747469905,0.3127609898641686,0.9168892212962011,4.209099897883907,0.7584823764983941
Regulation of Complement cascade,1.1044870639246183,1.0230929066990755,0.3499984164772058,0.31115332345832336,0.3254196115175509,15.192423119129723,0.35635693624465004
Aflatoxin activation and detoxification,1.103382438210192,1.0596970515135842,0.3889213259889673,0.35023179073078337,1.7506457472677792,9.469421238633087,0.5610322562045132
Antagonism of Activin by Follistatin,1.1000637153186448,1.2353700819667441,0.3817691403704075,0.844717814464998,0.5238240608404532,0.4981239698872058,0.5549084850153252
Complement cascade,1.0961515730289142,1.0485791137354075,0.309064805715866,0.30376108736411345,0.3209458028777298,15.96766785071909,0.3638217144164597
Recruitment of mitotic centrosome proteins and complexes,1.0961515730289142,0.5471840327551817,2.827872817824763,0.5096128215280902,2.081112715719591,0.34732827600094623,0.338829074976876
Centrosome maturation,1.0961515730289142,0.5471840327551817,2.827872817824763,0.5096128215280902,2.081112715719591,0.34546361927200414,0.338829074976876
"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",1.0895140623890047,1.7192109142232588,0.5312115954894752,1.8912200730853213,1.995422765588905,0.5835176106340716,1.5360992311579398
Cyclin A:Cdk2-associated events at S phase entry,1.0855055584412423,0.31697142057349836,0.37044175815133445,1.08425208573688,0.5580866519358129,2.521461120265583,0.5616858570094244
Regulation of gene expression by Hypoxia-inducible Factor,1.0707906768225448,0.32727728756408053,3.925590481139108,0.7285995775455892,1.335611611332247,2.250121482497307,0.3053571718161827
Regulation of signaling by CBL,1.0698596706571388,1.16005282927545,0.45268484869156644,0.3731529434224176,0.39388368066610474,21.666969562081125,1.0160871335774175
Phospholipid metabolism,1.0659646315126334,1.626167302406323,0.45416036451779374,0.34118218076308604,2.1292016884250162,19.627113583430553,0.3651055559896486
Phase 0 - rapid depolarisation,1.065535760878268,0.3288714815669623,1.5505138270118481,0.4809099691752396,2.2023918780517286,0.911076246597375,0.6874754667424066
Activation of BH3-only proteins,1.0644639267577007,0.31357464865337414,0.3338465757079793,2.194509763787589,3.087101296723645,0.7815016807817682,0.7590916772642207
"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",1.0638037916181275,0.3849420497242914,0.31763529338353835,0.5136273800552879,0.32800049118230695,9.380839483114139,0.30278431678447215
Transport of glycerol from adipocytes to the liver by Aquaporins,1.0627712346582299,0.6410788406347994,0.7430948492490503,1.151779422274342,0.5895817546677916,0.5267259351850471,0.6159039724018529
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4,1.0492932939031137,0.3630024758913586,0.38054791574534547,0.505811768724669,4.9319457983443495,0.3923402261079159,0.5421133457033116
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4,1.0492932939031137,0.3639215042559732,0.380601960822442,0.505811768724669,4.9319457983443495,0.3870450312293541,0.5421133457033116
Abortive elongation of HIV-1 transcript in the absence of Tat,1.0457911617377438,0.7254329041975404,1.8246095671622204,0.6258901234504047,1.57498551272427,0.5016139390613669,0.3548492432744763
Regulation of RUNX1 Expression and Activity,1.045157724869354,1.9591814189566625,1.1540075188146146,0.3337817693900771,3.1422213234556047,2.135233620013483,0.5602974951867619
Host Interactions of HIV factors,1.0389435749575968,0.6568523944177979,0.46758133649676764,0.7492463324823108,0.466467184576803,4.81791026265109,0.649712826188399
MASTL Facilitates Mitotic Progression,1.0389435749575968,3.74821156031117,0.411346825662197,3.0545376204798598,0.4922774409171271,0.47501140836336236,0.42525840576042084
Cyclin E associated events during G1/S transition ,1.034794912114356,0.3128507621405376,0.39309597241925864,1.0699352254436234,0.5300353818238792,2.398831373643159,0.5598731902958948
Antigen processing-Cross presentation,1.034794912114356,0.5565507266078732,0.32915207163871746,0.40434783642477773,0.48810331054802825,9.260797810870313,0.4074619331784924
CDK-mediated phosphorylation and removal of Cdc6,1.0214721164552583,0.3128507621405376,0.6524501167835685,1.2894444716857334,0.4284386211130606,2.1756349550016676,0.38181553532689616
Interleukin-1 family signaling,1.0203302725653498,0.5727501737678508,0.34646075595502507,0.6023502192625383,0.539907796095692,6.615038859027564,0.4907634214351237
p53-Dependent G1/S DNA damage checkpoint,1.0203302725653498,0.4865631200748303,0.833089918869621,1.1773249345199353,0.4922774409171271,2.894587226681532,0.3295424384780366
p53-Dependent G1 DNA Damage Response,1.0203302725653498,0.48511870725679634,0.8308529072101025,1.1773249345199353,0.4922774409171271,2.894587226681532,0.3295424384780366
TNFR2 non-canonical NF-kB pathway,1.0123701059231498,0.4788365094295219,0.41956605747469905,0.33076588586426786,0.4961160243421622,11.094448116523626,1.0942047402598025
"Inactivation, recovery and regulation of the phototransduction cascade",1.0048463633428835,0.5242748343222906,0.38785330057035605,0.5469572720316332,1.677056759047725,5.092410248913718,0.5900878455892932
GPCR ligand binding,0.9985883282105555,1.0082686705314727,0.420232266672448,0.45810218046921314,0.3342025727387196,22.238785439103143,0.3638217144164597
RET signaling,0.9961682005110246,3.379892228770036,0.3475566972130197,0.4023593491201172,3.7458007990122444,17.796875465160184,0.5894322709300865
Regulation of MECP2 expression and activity,0.9928070860832595,0.33334886919344947,0.8976774770765256,0.34500762465330675,0.6271493662307086,2.7365555630868315,0.4461814607203915
C-type lectin receptors (CLRs),0.9891276596243521,0.4574762108357018,0.3660986862015886,0.5108643430083234,0.41220733503505774,9.343386741378678,0.3594478743850575
Fc epsilon receptor (FCERI) signaling,0.9876418393455074,0.3624812178515287,0.3191808909916415,0.33076588586426786,0.3887750810400744,11.068368543808383,0.34682307924569783
Class A/1 (Rhodopsin-like receptors),0.9865670436891477,1.171055552302725,0.3568385564651765,0.4053831978137113,0.3143301276532784,23.96558523485967,0.5030608859113487
mRNA Editing,0.9848260817432448,0.4788365094295219,0.5396307566308843,0.4182659752589027,0.665046758167954,6.493247371836323,0.5421133457033116
Initial triggering of complement,0.9824548797881364,0.810678919814536,0.3444874793529721,0.31530666513839,0.30727400984706355,12.96709967618444,0.3339914247453728
Cross-presentation of particulate exogenous antigens (phagosomes),0.9815396306190584,0.34167388732594006,0.3984757058397672,0.31018523759686045,0.34893950153987047,21.159891796050697,0.8387000047495574
Repression of WNT target genes,0.980303634309677,3.552775647798799,0.3184323876312766,0.4182659752589027,5.58260011156617,5.146431837450818,0.7584823764983941
SUMOylation of transcription factors,0.9801650637515494,0.4731128235942158,0.43328890843665097,1.0699352254436234,0.5331068286775944,2.937076636346661,0.338829074976876
Autointegration results in viral DNA circles,0.9801650637515494,0.4788365094295219,0.7380984529894726,0.5141087819343777,1.6972509498604837,0.9906062381560474,0.32033762313035097
Integration of viral DNA into host genomic DNA,0.9801650637515494,0.4788365094295219,0.7380984529894726,0.5141087819343777,1.6972509498604837,0.9837950434547861,0.32033762313035097
Phenylalanine and tyrosine metabolism,0.9697960116404486,0.36519026429481855,0.30418321185520636,0.7353608976712633,2.0041044959132988,7.683717384195798,0.42747441137107256
Transfer of LPS from LBP carrier to CD14,0.9662588789931686,0.8217754390035673,0.8471989334689757,0.35000616373451987,0.3644539180528775,7.688124379769374,0.8691150485249445
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,0.9631067860671777,0.9837117406301449,0.4596058529701444,0.5793315557301703,0.39664289216579907,11.081031990642714,0.6641193310424961
Fcgamma receptor (FCGR) dependent phagocytosis,0.9595257466390331,1.0652967967935014,0.41656413911921997,0.3522115808232755,0.3622698145662782,15.20118508010478,0.3091523091722301
Formation of the Editosome,0.9572952488352987,0.351317923462216,0.7585262334470392,0.33616676186290795,0.4568434061507975,8.505783603691476,0.45738491511087925
mRNA Editing: C to U Conversion,0.9572952488352987,0.351317923462216,0.7327523063659097,0.33616676186290795,0.4568434061507975,8.505783603691476,0.45738491511087925
Acetylation,0.9571899405279322,0.32392824775404444,0.36462496992449495,0.31894873917892935,0.7011906321451863,0.7625022291962917,0.8562355265640327
Signal Transduction,0.9570381847499475,0.4419035080884291,0.43472031886750084,0.3650347392099042,0.48810331054802825,12.54332220387365,0.6260472784301021
Regulation of RUNX2 expression and activity,0.9561023583404299,0.337915961179589,0.4425315361405702,0.844717814464998,0.45744603577562387,4.1454143458331645,0.30278431678447215
mRNA decay by 5' to 3' exoribonuclease,0.9534020590474027,0.36635055077698886,0.4749916668147012,0.3337817693900771,3.6050573168664237,0.53370250031107,1.4598759290895096
Recycling pathway of L1,0.9534020590474027,0.4731128235942158,0.4495216822883339,0.4524881544222772,1.5245700489801655,6.553888937021206,0.6881236344388623
Serotonin clearance from the synaptic cleft,0.9495735928554951,0.44227409954858976,0.6832415848156055,0.5894165245005016,1.0949631211718736,1.3178540095210673,0.8738918312951495
ER-Phagosome pathway,0.94876519937488,0.5471840327551817,0.3367240286147775,0.3882055423397355,0.4950582541512555,8.10791139211148,0.41714418518656127
